Destino	Concepto turístico	Tipo de dato	Periodo	Total
01 Andalucía	Gasto medio diario por persona	Variación anual	2019	1,95
01 Andalucía	Gasto medio diario por persona	Variación anual	2018	5,62
01 Andalucía	Gasto medio diario por persona	Variación anual	2017	6,3
01 Andalucía	Gasto medio diario por persona	Variación anual	2016	-1,51
01 Andalucía	Gasto medio diario por persona	Variación anual	2015	""
02 Aragón	Viajes	Valor absoluto	2023	7.329.881
02 Aragón	Viajes	Valor absoluto	2022	7.464.760
02 Aragón	Viajes	Valor absoluto	2021	5.895.342
02 Aragón	Viajes	Valor absoluto	2020	4.003.793
02 Aragón	Viajes	Valor absoluto	2019	7.425.910
02 Aragón	Viajes	Valor absoluto	2018	8.051.753
02 Aragón	Viajes	Valor absoluto	2017	8.087.891
02 Aragón	Viajes	Valor absoluto	2016	8.011.707
02 Aragón	Viajes	Valor absoluto	2015	6.751.698
02 Aragón	Viajes	Distribución porcentual	2023	3,9
02 Aragón	Viajes	Distribución porcentual	2022	4,4
02 Aragón	Viajes	Distribución porcentual	2021	4,1
02 Aragón	Viajes	Distribución porcentual	2020	3,9
02 Aragón	Viajes	Distribución porcentual	2019	3,8
02 Aragón	Viajes	Distribución porcentual	2018	4,1
02 Aragón	Viajes	Distribución porcentual	2017	4,2
02 Aragón	Viajes	Distribución porcentual	2016	4,4
02 Aragón	Viajes	Distribución porcentual	2015	3,8
02 Aragón	Viajes	Variación anual	2023	-1,81
02 Aragón	Viajes	Variación anual	2022	26,62
02 Aragón	Viajes	Variación anual	2021	47,24
02 Aragón	Viajes	Variación anual	2020	-46,08
02 Aragón	Viajes	Variación anual	2019	-7,77
02 Aragón	Viajes	Variación anual	2018	-0,45
02 Aragón	Viajes	Variación anual	2017	0,95
02 Aragón	Viajes	Variación anual	2016	18,66
02 Aragón	Viajes	Variación anual	2015	""
02 Aragón	Duración media de los viajes	Valor absoluto	2023	3,31
02 Aragón	Duración media de los viajes	Valor absoluto	2022	3,41
02 Aragón	Duración media de los viajes	Valor absoluto	2021	3,42
02 Aragón	Duración media de los viajes	Valor absoluto	2020	4,21
02 Aragón	Duración media de los viajes	Valor absoluto	2019	3,46
02 Aragón	Duración media de los viajes	Valor absoluto	2018	3,24
02 Aragón	Duración media de los viajes	Valor absoluto	2017	3,23
02 Aragón	Duración media de los viajes	Valor absoluto	2016	3,43
02 Aragón	Duración media de los viajes	Valor absoluto	2015	3,16
02 Aragón	Duración media de los viajes	Distribución porcentual	2023	""
02 Aragón	Duración media de los viajes	Distribución porcentual	2022	""
02 Aragón	Duración media de los viajes	Distribución porcentual	2021	""
02 Aragón	Duración media de los viajes	Distribución porcentual	2020	""
02 Aragón	Duración media de los viajes	Distribución porcentual	2019	""
02 Aragón	Duración media de los viajes	Distribución porcentual	2018	""
02 Aragón	Duración media de los viajes	Distribución porcentual	2017	""
02 Aragón	Duración media de los viajes	Distribución porcentual	2016	""
02 Aragón	Duración media de los viajes	Distribución porcentual	2015	""
02 Aragón	Duración media de los viajes	Variación anual	2023	-3,09
02 Aragón	Duración media de los viajes	Variación anual	2022	-0,1
02 Aragón	Duración media de los viajes	Variación anual	2021	-18,88
02 Aragón	Duración media de los viajes	Variación anual	2020	21,83
02 Aragón	Duración media de los viajes	Variación anual	2019	6,58
02 Aragón	Duración media de los viajes	Variación anual	2018	0,29
02 Aragón	Duración media de los viajes	Variación anual	2017	-5,8
02 Aragón	Duración media de los viajes	Variación anual	2016	8,77
02 Aragón	Duración media de los viajes	Variación anual	2015	""
02 Aragón	Pernoctaciones	Valor absoluto	2023	24.235.775
02 Aragón	Pernoctaciones	Valor absoluto	2022	25.469.094
02 Aragón	Pernoctaciones	Valor absoluto	2021	20.134.861
02 Aragón	Pernoctaciones	Valor absoluto	2020	16.857.340
02 Aragón	Pernoctaciones	Valor absoluto	2019	25.663.151
02 Aragón	Pernoctaciones	Valor absoluto	2018	26.107.391
02 Aragón	Pernoctaciones	Valor absoluto	2017	26.148.564
02 Aragón	Pernoctaciones	Valor absoluto	2016	27.496.462
02 Aragón	Pernoctaciones	Valor absoluto	2015	21.304.560
02 Aragón	Pernoctaciones	Distribución porcentual	2023	3
02 Aragón	Pernoctaciones	Distribución porcentual	2022	3,4
02 Aragón	Pernoctaciones	Distribución porcentual	2021	3,2
02 Aragón	Pernoctaciones	Distribución porcentual	2020	3,4
02 Aragón	Pernoctaciones	Distribución porcentual	2019	3,2
02 Aragón	Pernoctaciones	Distribución porcentual	2018	3,3
02 Aragón	Pernoctaciones	Distribución porcentual	2017	3,3
02 Aragón	Pernoctaciones	Distribución porcentual	2016	3,5
02 Aragón	Pernoctaciones	Distribución porcentual	2015	2,8
02 Aragón	Pernoctaciones	Variación anual	2023	-4,84
02 Aragón	Pernoctaciones	Variación anual	2022	26,49
02 Aragón	Pernoctaciones	Variación anual	2021	19,44
02 Aragón	Pernoctaciones	Variación anual	2020	-34,31
02 Aragón	Pernoctaciones	Variación anual	2019	-1,7
02 Aragón	Pernoctaciones	Variación anual	2018	-0,16
02 Aragón	Pernoctaciones	Variación anual	2017	-4,9
02 Aragón	Pernoctaciones	Variación anual	2016	29,06
02 Aragón	Pernoctaciones	Variación anual	2015	""
02 Aragón	Gasto total	Valor absoluto	2023	1.421.468,07
02 Aragón	Gasto total	Valor absoluto	2022	1.415.024,84
02 Aragón	Gasto total	Valor absoluto	2021	980.844,76
02 Aragón	Gasto total	Valor absoluto	2020	667.195,46
02 Aragón	Gasto total	Valor absoluto	2019	1.235.365,56
02 Aragón	Gasto total	Valor absoluto	2018	1.198.406,44
02 Aragón	Gasto total	Valor absoluto	2017	1.103.043,28
02 Aragón	Gasto total	Valor absoluto	2016	1.102.144,36
02 Aragón	Gasto total	Valor absoluto	2015	890.125,15
02 Aragón	Gasto total	Distribución porcentual	2023	2,4
02 Aragón	Gasto total	Distribución porcentual	2022	2,8
02 Aragón	Gasto total	Distribución porcentual	2021	3
02 Aragón	Gasto total	Distribución porcentual	2020	3,2
02 Aragón	Gasto total	Distribución porcentual	2019	2,6
02 Aragón	Gasto total	Distribución porcentual	2018	2,6
02 Aragón	Gasto total	Distribución porcentual	2017	2,5
02 Aragón	Gasto total	Distribución porcentual	2016	2,7
02 Aragón	Gasto total	Distribución porcentual	2015	2,3
02 Aragón	Gasto total	Variación anual	2023	0,46
02 Aragón	Gasto total	Variación anual	2022	44,27
02 Aragón	Gasto total	Variación anual	2021	47,01
02 Aragón	Gasto total	Variación anual	2020	-45,99
02 Aragón	Gasto total	Variación anual	2019	3,08
02 Aragón	Gasto total	Variación anual	2018	8,65
02 Aragón	Gasto total	Variación anual	2017	0,08
02 Aragón	Gasto total	Variación anual	2016	23,82
02 Aragón	Gasto total	Variación anual	2015	""
02 Aragón	Gasto medio por persona	Valor absoluto	2023	193,93
02 Aragón	Gasto medio por persona	Valor absoluto	2022	189,56
02 Aragón	Gasto medio por persona	Valor absoluto	2021	166,38
02 Aragón	Gasto medio por persona	Valor absoluto	2020	166,64
02 Aragón	Gasto medio por persona	Valor absoluto	2019	166,36
02 Aragón	Gasto medio por persona	Valor absoluto	2018	148,84
02 Aragón	Gasto medio por persona	Valor absoluto	2017	136,38
02 Aragón	Gasto medio por persona	Valor absoluto	2016	137,57
02 Aragón	Gasto medio por persona	Valor absoluto	2015	131,84
02 Aragón	Gasto medio por persona	Distribución porcentual	2023	""
02 Aragón	Gasto medio por persona	Distribución porcentual	2022	""
02 Aragón	Gasto medio por persona	Distribución porcentual	2021	""
02 Aragón	Gasto medio por persona	Distribución porcentual	2020	""
02 Aragón	Gasto medio por persona	Distribución porcentual	2019	""
02 Aragón	Gasto medio por persona	Distribución porcentual	2018	""
02 Aragón	Gasto medio por persona	Distribución porcentual	2017	""
02 Aragón	Gasto medio por persona	Distribución porcentual	2016	""
02 Aragón	Gasto medio por persona	Distribución porcentual	2015	""
02 Aragón	Gasto medio por persona	Variación anual	2023	2,3
02 Aragón	Gasto medio por persona	Variación anual	2022	13,93
02 Aragón	Gasto medio por persona	Variación anual	2021	-0,16
02 Aragón	Gasto medio por persona	Variación anual	2020	0,17
02 Aragón	Gasto medio por persona	Variación anual	2019	11,77
02 Aragón	Gasto medio por persona	Variación anual	2018	9,13
02 Aragón	Gasto medio por persona	Variación anual	2017	-0,86
02 Aragón	Gasto medio por persona	Variación anual	2016	4,35
02 Aragón	Gasto medio por persona	Variación anual	2015	""
02 Aragón	Gasto medio diario por persona	Valor absoluto	2023	58,65
02 Aragón	Gasto medio diario por persona	Valor absoluto	2022	55,56
02 Aragón	Gasto medio diario por persona	Valor absoluto	2021	48,71
02 Aragón	Gasto medio diario por persona	Valor absoluto	2020	39,58
02 Aragón	Gasto medio diario por persona	Valor absoluto	2019	48,14
02 Aragón	Gasto medio diario por persona	Valor absoluto	2018	45,9
02 Aragón	Gasto medio diario por persona	Valor absoluto	2017	42,18
02 Aragón	Gasto medio diario por persona	Valor absoluto	2016	40,08
02 Aragón	Gasto medio diario por persona	Valor absoluto	2015	41,78
02 Aragón	Gasto medio diario por persona	Distribución porcentual	2023	""
02 Aragón	Gasto medio diario por persona	Distribución porcentual	2022	""
02 Aragón	Gasto medio diario por persona	Distribución porcentual	2021	""
02 Aragón	Gasto medio diario por persona	Distribución porcentual	2020	""
02 Aragón	Gasto medio diario por persona	Distribución porcentual	2019	""
02 Aragón	Gasto medio diario por persona	Distribución porcentual	2018	""
02 Aragón	Gasto medio diario por persona	Distribución porcentual	2017	""
02 Aragón	Gasto medio diario por persona	Distribución porcentual	2016	""
02 Aragón	Gasto medio diario por persona	Distribución porcentual	2015	""
02 Aragón	Gasto medio diario por persona	Variación anual	2023	5,57
02 Aragón	Gasto medio diario por persona	Variación anual	2022	14,05
02 Aragón	Gasto medio diario por persona	Variación anual	2021	23,08
02 Aragón	Gasto medio diario por persona	Variación anual	2020	-17,78
02 Aragón	Gasto medio diario por persona	Variación anual	2019	4,87
02 Aragón	Gasto medio diario por persona	Variación anual	2018	8,82
02 Aragón	Gasto medio diario por persona	Variación anual	2017	5,24
02 Aragón	Gasto medio diario por persona	Variación anual	2016	-4,06
02 Aragón	Gasto medio diario por persona	Variación anual	2015	""
03 Asturias, Principado de	Viajes	Valor absoluto	2023	4.758.797
03 Asturias, Principado de	Viajes	Valor absoluto	2022	4.052.575
03 Asturias, Principado de	Viajes	Valor absoluto	2021	3.156.575
03 Asturias, Principado de	Viajes	Valor absoluto	2020	2.741.192
03 Asturias, Principado de	Viajes	Valor absoluto	2019	4.844.535
03 Asturias, Principado de	Viajes	Valor absoluto	2018	4.859.144
03 Asturias, Principado de	Viajes	Valor absoluto	2017	4.813.351
03 Asturias, Principado de	Viajes	Valor absoluto	2016	4.165.072
03 Asturias, Principado de	Viajes	Valor absoluto	2015	4.748.507
03 Asturias, Principado de	Viajes	Distribución porcentual	2023	2,6
03 Asturias, Principado de	Viajes	Distribución porcentual	2022	2,4
03 Asturias, Principado de	Viajes	Distribución porcentual	2021	2,2
03 Asturias, Principado de	Viajes	Distribución porcentual	2020	2,7
03 Asturias, Principado de	Viajes	Distribución porcentual	2019	2,5
03 Asturias, Principado de	Viajes	Distribución porcentual	2018	2,5
03 Asturias, Principado de	Viajes	Distribución porcentual	2017	2,5
03 Asturias, Principado de	Viajes	Distribución porcentual	2016	2,3
03 Asturias, Principado de	Viajes	Distribución porcentual	2015	2,7
03 Asturias, Principado de	Viajes	Variación anual	2023	17,43
03 Asturias, Principado de	Viajes	Variación anual	2022	28,39
03 Asturias, Principado de	Viajes	Variación anual	2021	15,15
03 Asturias, Principado de	Viajes	Variación anual	2020	-43,42
03 Asturias, Principado de	Viajes	Variación anual	2019	-0,3
03 Asturias, Principado de	Viajes	Variación anual	2018	0,95
03 Asturias, Principado de	Viajes	Variación anual	2017	15,56
03 Asturias, Principado de	Viajes	Variación anual	2016	-12,29
03 Asturias, Principado de	Viajes	Variación anual	2015	""
03 Asturias, Principado de	Duración media de los viajes	Valor absoluto	2023	4,58
03 Asturias, Principado de	Duración media de los viajes	Valor absoluto	2022	4,45
03 Asturias, Principado de	Duración media de los viajes	Valor absoluto	2021	4,82
03 Asturias, Principado de	Duración media de los viajes	Valor absoluto	2020	5,03
03 Asturias, Principado de	Duración media de los viajes	Valor absoluto	2019	3,8
03 Asturias, Principado de	Duración media de los viajes	Valor absoluto	2018	3,47
03 Asturias, Principado de	Duración media de los viajes	Valor absoluto	2017	3,97
03 Asturias, Principado de	Duración media de los viajes	Valor absoluto	2016	3,92
03 Asturias, Principado de	Duración media de los viajes	Valor absoluto	2015	4
03 Asturias, Principado de	Duración media de los viajes	Distribución porcentual	2023	""
03 Asturias, Principado de	Duración media de los viajes	Distribución porcentual	2022	""
03 Asturias, Principado de	Duración media de los viajes	Distribución porcentual	2021	""
03 Asturias, Principado de	Duración media de los viajes	Distribución porcentual	2020	""
03 Asturias, Principado de	Duración media de los viajes	Distribución porcentual	2019	""
03 Asturias, Principado de	Duración media de los viajes	Distribución porcentual	2018	""
03 Asturias, Principado de	Duración media de los viajes	Distribución porcentual	2017	""
03 Asturias, Principado de	Duración media de los viajes	Distribución porcentual	2016	""
03 Asturias, Principado de	Duración media de los viajes	Distribución porcentual	2015	""
03 Asturias, Principado de	Duración media de los viajes	Variación anual	2023	2,95
03 Asturias, Principado de	Duración media de los viajes	Variación anual	2022	-7,64
03 Asturias, Principado de	Duración media de los viajes	Variación anual	2021	-4,26
03 Asturias, Principado de	Duración media de los viajes	Variación anual	2020	32,43
03 Asturias, Principado de	Duración media de los viajes	Variación anual	2019	9,71
03 Asturias, Principado de	Duración media de los viajes	Variación anual	2018	-12,72
03 Asturias, Principado de	Duración media de los viajes	Variación anual	2017	1,27
03 Asturias, Principado de	Duración media de los viajes	Variación anual	2016	-2,02
03 Asturias, Principado de	Duración media de los viajes	Variación anual	2015	""
03 Asturias, Principado de	Pernoctaciones	Valor absoluto	2023	21.809.948
03 Asturias, Principado de	Pernoctaciones	Valor absoluto	2022	18.041.814
03 Asturias, Principado de	Pernoctaciones	Valor absoluto	2021	15.215.578
03 Asturias, Principado de	Pernoctaciones	Valor absoluto	2020	13.801.796
03 Asturias, Principado de	Pernoctaciones	Valor absoluto	2019	18.419.059
03 Asturias, Principado de	Pernoctaciones	Valor absoluto	2018	16.839.366
03 Asturias, Principado de	Pernoctaciones	Valor absoluto	2017	19.111.836
03 Asturias, Principado de	Pernoctaciones	Valor absoluto	2016	16.330.030
03 Asturias, Principado de	Pernoctaciones	Valor absoluto	2015	19.001.594
03 Asturias, Principado de	Pernoctaciones	Distribución porcentual	2023	2,7
03 Asturias, Principado de	Pernoctaciones	Distribución porcentual	2022	2,4
03 Asturias, Principado de	Pernoctaciones	Distribución porcentual	2021	2,4
03 Asturias, Principado de	Pernoctaciones	Distribución porcentual	2020	2,8
03 Asturias, Principado de	Pernoctaciones	Distribución porcentual	2019	2,3
03 Asturias, Principado de	Pernoctaciones	Distribución porcentual	2018	2,1
